Time,PhysicsState,GateActivated,GateOpenProgress,PinBRemoved,PinCRemoved,PipX,PipY,PipVy,MochiX,MochiY,MochiVy,BlobboX,BlobboY,BlobboVy,CreaturesInGoal,ActiveColliderUnderChamber
0.000,RUNNING,false,0.000,false,true,700.0,255.0,0.0,765.0,255.0,0.0,830.0,255.0,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.016,RUNNING,false,0.000,false,true,700.0,255.2,24.8,765.0,255.2,24.8,830.0,255.2,24.8,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.032,RUNNING,false,0.000,false,true,700.0,255.8,49.6,765.0,255.8,49.6,830.0,255.8,49.6,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.048,RUNNING,false,0.000,false,true,700.0,256.9,74.4,765.0,256.9,74.4,830.0,256.9,74.4,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.064,RUNNING,false,0.000,false,true,700.0,258.3,99.2,765.0,258.3,99.2,830.0,258.3,99.2,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.080,RUNNING,false,0.000,false,true,700.0,260.1,124.0,765.0,260.1,124.0,830.0,260.1,124.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.096,RUNNING,false,0.000,false,true,700.0,262.3,148.8,765.0,262.3,148.8,830.0,262.3,148.8,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.112,RUNNING,false,0.000,false,true,700.0,264.9,173.6,765.0,264.9,173.6,830.0,264.9,173.6,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.128,RUNNING,false,0.000,false,true,700.0,267.9,198.4,765.0,267.9,198.4,830.0,267.9,198.4,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.144,RUNNING,false,0.000,false,true,700.0,271.3,223.2,765.0,271.3,223.2,830.0,271.3,223.2,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.160,RUNNING,false,0.000,false,true,700.0,275.1,248.0,765.0,275.1,248.0,830.0,275.1,248.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.176,RUNNING,false,0.000,false,true,700.0,274.2,-146.6,765.0,274.2,-146.6,830.0,274.2,-146.6,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.192,RUNNING,false,0.000,false,true,700.0,272.1,-121.8,765.0,272.1,-121.8,830.0,272.1,-121.8,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.208,RUNNING,false,0.000,false,true,700.0,270.4,-97.0,765.0,270.4,-97.0,830.0,270.4,-97.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.224,RUNNING,false,0.000,false,true,700.0,269.1,-72.2,765.0,269.1,-72.2,830.0,269.1,-72.2,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.240,RUNNING,false,0.000,false,true,700.0,268.1,-47.4,765.0,268.1,-47.4,830.0,268.1,-47.4,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.256,RUNNING,false,0.000,false,true,700.0,267.6,-22.6,765.0,267.6,-22.6,830.0,267.6,-22.6,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.272,RUNNING,false,0.000,false,true,700.0,267.4,2.2,765.0,267.4,2.2,830.0,267.4,2.2,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.288,RUNNING,false,0.000,false,true,700.0,267.7,27.0,765.0,267.7,27.0,830.0,267.7,27.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.304,RUNNING,false,0.000,false,true,700.0,268.4,51.8,765.0,268.4,51.8,830.0,268.4,51.8,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.320,RUNNING,false,0.000,false,true,700.0,269.4,76.6,765.0,269.4,76.6,830.0,269.4,76.6,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.336,RUNNING,false,0.000,false,true,700.0,270.9,101.4,765.0,270.9,101.4,830.0,270.9,101.4,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.352,RUNNING,false,0.000,false,true,700.0,272.7,126.2,765.0,272.7,126.2,830.0,272.7,126.2,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.368,RUNNING,false,0.000,false,true,700.0,274.9,151.0,765.0,274.9,151.0,830.0,274.9,151.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.384,RUNNING,false,0.000,false,true,700.0,275.3,-93.8,765.0,275.3,-93.8,830.0,275.3,-93.8,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.400,RUNNING,false,0.000,false,true,700.0,274.0,-69.0,765.0,274.0,-69.0,830.0,274.0,-69.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.416,RUNNING,false,0.000,false,true,700.0,273.1,-44.2,765.0,273.1,-44.2,830.0,273.1,-44.2,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.432,RUNNING,false,0.000,false,true,700.0,272.7,-19.4,765.0,272.7,-19.4,830.0,272.7,-19.4,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.448,RUNNING,false,0.000,false,true,700.0,272.6,5.4,765.0,272.6,5.4,830.0,272.6,5.4,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.464,RUNNING,false,0.000,false,true,700.0,272.9,30.2,765.0,272.9,30.2,830.0,272.9,30.2,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.480,RUNNING,false,0.000,false,true,700.0,273.6,55.0,765.0,273.6,55.0,830.0,273.6,55.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.496,RUNNING,false,0.000,false,true,700.0,274.7,79.8,765.0,274.7,79.8,830.0,274.7,79.8,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.512,RUNNING,false,0.000,false,true,700.0,276.1,-68.0,765.0,276.1,-68.0,830.0,276.1,-68.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.528,RUNNING,false,0.000,false,true,700.0,275.2,-43.2,765.0,275.2,-43.2,830.0,275.2,-43.2,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.544,RUNNING,false,0.000,false,true,700.0,274.8,-18.4,765.0,274.8,-18.4,830.0,274.8,-18.4,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.560,RUNNING,false,0.000,false,true,700.0,274.7,6.4,765.0,274.7,6.4,830.0,274.7,6.4,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.576,RUNNING,false,0.000,false,true,700.0,275.0,31.2,765.0,275.0,31.2,830.0,275.0,31.2,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.592,RUNNING,false,0.000,false,true,700.0,275.7,56.0,765.0,275.7,56.0,830.0,275.7,56.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.608,RUNNING,false,0.000,false,true,700.0,275.8,-26.9,765.0,275.8,-26.9,830.0,275.8,-26.9,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.624,RUNNING,false,0.000,false,true,700.0,275.5,-2.1,765.0,275.5,-2.1,830.0,275.5,-2.1,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.640,RUNNING,false,0.000,false,true,700.0,275.7,22.7,765.0,275.7,22.7,830.0,275.7,22.7,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.656,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.672,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.688,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.704,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.720,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.736,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.752,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.768,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.784,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.800,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.816,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.832,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.848,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.864,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.880,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.896,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.912,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.928,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.944,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.960,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.976,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
0.992,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.008,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.024,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.040,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.056,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.072,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.088,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.104,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.120,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.136,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.152,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.168,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.184,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.200,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.216,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.232,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.248,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.264,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.280,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.296,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.312,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.328,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.344,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.360,RUNNING,false,0.000,false,true,700.0,276.1,0.0,765.0,276.1,0.0,830.0,276.1,0.0,0,CreatureGate(prog=0.00);Pin(PIN_B)
1.376,RUNNING,true,0.060,true,true,700.0,276.2,15.5,765.0,276.2,15.5,830.0,276.2,15.5,0,CreatureGate(prog=0.06)
1.392,RUNNING,true,0.156,true,true,700.0,276.6,40.3,765.0,276.6,40.3,830.0,276.6,40.3,0,CreatureGate(prog=0.16)
1.408,RUNNING,true,0.252,true,true,700.0,277.5,65.1,765.0,277.5,65.1,830.0,277.5,65.1,0,CreatureGate(prog=0.25)
1.424,RUNNING,true,0.348,true,true,700.0,278.8,89.9,765.0,278.8,89.9,830.0,278.8,89.9,0,CreatureGate(prog=0.35)
1.440,RUNNING,true,0.444,true,true,700.0,280.4,114.7,765.0,280.4,114.7,830.0,280.4,114.7,0,CreatureGate(prog=0.44)
1.456,RUNNING,true,0.540,true,true,700.0,282.5,139.5,765.0,282.5,139.5,830.0,282.5,139.5,0,CreatureGate(prog=0.54)
1.472,RUNNING,true,0.636,true,true,700.0,285.0,164.3,765.0,285.0,164.3,830.0,285.0,164.3,0,CreatureGate(prog=0.64)
1.488,RUNNING,true,0.732,true,true,700.0,287.8,189.1,765.0,287.8,189.1,830.0,287.8,189.1,0,CreatureGate(prog=0.73)
1.504,RUNNING,true,0.828,true,true,700.0,291.1,213.9,765.0,291.1,213.9,830.0,291.1,213.9,0,CreatureGate(prog=0.83)
1.520,RUNNING,true,0.924,true,true,700.0,294.7,238.7,765.0,294.7,238.7,830.0,294.7,238.7,0,CreatureGate(prog=0.92)
1.536,RUNNING,true,1.000,true,true,700.0,298.7,263.5,765.0,298.7,263.5,830.0,298.7,263.5,0,NONE
1.552,RUNNING,true,1.000,true,true,700.0,303.2,288.3,765.0,303.2,288.3,830.0,303.2,288.3,0,NONE
1.568,RUNNING,true,1.000,true,true,700.0,308.0,313.1,765.0,308.0,313.1,830.0,308.0,313.1,0,NONE
1.584,RUNNING,true,1.000,true,true,700.0,313.2,337.9,765.0,313.2,337.9,830.0,313.2,337.9,0,NONE
1.600,RUNNING,true,1.000,true,true,700.0,318.9,362.7,765.0,318.9,362.7,830.0,318.9,362.7,0,NONE
1.616,RUNNING,true,1.000,true,true,700.0,324.9,387.5,765.0,324.9,387.5,830.0,324.9,387.5,0,NONE
1.632,RUNNING,true,1.000,true,true,700.0,331.3,412.3,765.0,331.3,412.3,830.0,331.3,412.3,0,NONE
1.648,RUNNING,true,1.000,true,true,700.0,338.1,437.1,765.0,338.1,437.1,830.0,338.1,437.1,0,NONE
1.664,RUNNING,true,1.000,true,true,700.0,345.4,461.9,765.0,345.4,461.9,830.0,345.4,461.9,0,NONE
1.680,RUNNING,true,1.000,true,true,700.0,353.0,486.7,765.0,353.0,486.7,830.0,353.0,486.7,0,NONE
1.696,RUNNING,true,1.000,true,true,700.0,361.0,511.5,765.0,361.0,511.5,830.0,361.0,511.5,0,NONE
1.712,RUNNING,true,1.000,true,true,700.0,369.4,536.3,765.0,369.4,536.3,830.0,369.4,536.3,0,NONE
1.728,RUNNING,true,1.000,true,true,700.0,378.2,561.1,765.0,378.2,561.1,830.0,378.2,561.1,0,NONE
1.744,RUNNING,true,1.000,true,true,700.0,387.4,585.9,765.0,387.4,585.9,830.0,387.4,585.9,0,NONE
1.760,RUNNING,true,1.000,true,true,700.0,397.0,610.7,765.0,397.0,610.7,830.0,397.0,610.7,0,NONE
